,Location,Postcode
263,Drift Sands,7100
264,Drostdy Park,7580
265,Drumblair,7945
266,Duck Pond Village,7140
267,Duinendal,7140
268,Dunoon,7438
269,Dunoon,7441
270,Durbanvale,7550
271,Durbanville,7550
272,Durbanville,7551
273,Durbanville Hills,7550
274,Durbell,7550
275,Durmonte,7550
276,Durrheim,7490
277,Durrheim,7491
278,Duynefontein,7441
279,Eagle Park,7941
280,East Rock,7550
281,Eastlake,7945
282,Eastlake Island,7945
283,Eastlake Village,7945
284,Eastridge,7785
285,Eden Park,7560
286,Edgemead,7407
287,Edgemead,7441
288,Eedervale,7100
289,Eerste River,7100
290,Eerste River,7103
291,Eerste River South,7100
292,Eikefontein,7570
293,Eikefontein,7571
294,Eikenbosch,7530
295,Eikendal,7570
296,Eindhoven,7100
297,Ekuphumleni,7784
298,Electric City,7100
299,Elfindale Estate,7945
300,Elim,7580
301,Elnor Estate,7490
302,Elonwabeni,7791
303,Elsie's River,7480
304,Elsie's River,7490
305,Elwyn Park,7764
306,Eppindust,7460
307,Eppindust,7475
308,Epping Forest,7490
309,Epping Garden Village,7460
310,Epping Industrial,7460
311,Epping Industrial Area,7460
312,Epping Industrial Area,7475
313,Erijaville,7140
314,Erinvale,7130
315,Erinvale Estate,7130
316,Eureka Estate,7490
317,Europe,7750
318,Everglen,7550
319,Everite,7560
320,Eversdal,7550
321,Eversdal Heights,7550
322,Factreton,7405
323,Faerie Knowe,7975
324,Fairdale,7100
325,Fairfield Estate,7500
326,Fairtrees,7550
327,Fairways,7800
328,Farmedge,7945
329,Farmside,7945
330,Faure,7131
331,Ferndale,7560
332,Ferness Estate,7800
333,Fernwood Estate,7700
334,Fifth Avenue Village,7764
335,Firgrove,7110
336,Firgrove,7130
337,Fisantekraal,7550
338,Fish Hoek,7975
339,Fishermans Cove,7941
340,Flamingo Square,7441
341,Flamingo Village,7441
342,Flamingovlei,7441
343,Flintdale Estate,7800
344,Flora Acres,7800
345,Florida,7493
346,Foreshore,8001
347,Forest Glade,7100
348,Forest Glade,7945
349,Forest Heights,7100
350,Forest Park,7100
351,Forest Village,7100
352,Fountain Mews,7490
353,Fountain Village,7100
354,Freedom Park,7780
355,Freedom Park,7785
356,Fresnaye,8005
357,Froggy Pond,7975
358,Frogmore Estate,7945
359,Gants Park,7140
360,Garden Village,7130
361,Garden Village,7405
362,Gardens,8001
363,Garlandale Estate,7780
364,Gatesville,7764
365,Gatesville,7766
366,Gaylands,7806
367,Gaylee,7580
368,Gleemoor,7764
369,Glen Alphine,7806
370,Glen Alphine Estate,7806
371,Glen Eagles,7945
372,Glen Ive,7550
373,Glen Lilly,7500
374,Glen Marine,7975
375,Glenabbot,7806
376,Glencairn,7975
377,Glencairn Heights,7975
378,Glenhaven Estate,7530
379,Glenwood,7460
380,Glosderry,7702
381,Goedehoop,7140
382,Goedemoed,7550
383,Golden Acre,7130
384,Golden Hill,7130
385,Golf Estate,7800
386,Golf Links Estate,7800
387,Goodness,7460
388,Goodwood,7459
389,Goodwood,7460
390,Goodwood Park,7460
391,Goodwood West,7460
392,Goolhurst,7941
393,Gordon's Bay,7140
394,Gordon's Bay,7151
395,Graanendal,7550
396,Graceland,7784
397,Granger Bay,8005
398,Grangor Bay,8005
399,Grassy Park,7888
400,Grassy Park,7941
401,Green Peace Village,7780
402,Green Point 2,8005
403,Green Point 2,8051
404,Greenfield,7140
405,Greenfield,7580
406,Greenfields Park,7800
407,Greenhaven,7764
408,Greenhill Village,7785
409,Greenland,7530
410,Greenpoint,7784
411,Greenways,7140
412,Griffiths Mxenge,7784
413,Groenendal,7530
414,Groenvallei,7530
415,Groenvlei,7780
416,Groote Schuur,7925
417,Groote Schuur Hospital,7925
418,Guguletu,7750
419,Guguletu,7751
420,Guguletu Hostels,7750
421,Guguletu Mall,7753
422,Guguletu Square,7753
423,Gulden Park,7140
424,Gustrow,7140
425,Haasendal,7580
426,Hagley,7580
427,Halfway Industria,7140
428,Hamilton Estate,7100
429,Hampton Estate,7780
430,Hanover Park,7780
431,Happy Valley,7580
432,Harare,7784
433,Harbour Island,7140
434,Hardwick Estate,7700
435,Harfield Village,7708
436,Hatton,7764
437,Hatton Estate,7764
438,Hawthorne Estate,7945
439,Hazeldene,7750
440,Hazelwood Park,7975
441,Hazendal,7764
442,Heather Park,7100
443,Heatherley Estate,7780
444,Heathfield,7945
445,Hebron,7560
446,Heemstead,7530
447,Heemstede,7530
448,Heideveld,7764
449,Heinz Park,7785
450,Helderberg,7130
451,Helderberg,7135
452,Helderberg Industrial Park,7140
453,Helderberg Park,7140
454,Helderrant,7130
455,Helderview,7130
456,Heldervue,7130
457,Helderzicht,7130
458,Helena Heights,7130
459,Heritage Park,7130
460,Hermon Park,7570
461,Heyns Park,7785
462,Hiddingh Estate,7700
463,Higgovale,8001
464,High Cape,8000
465,High Cape,8001
466,High Places,7100
467,Highbury,7580
468,Highbury Park,7580
469,Highgate,7580
470,Highlands Estate,8001
471,Hillcrest,7100
472,Hillcrest,7560
473,Hillrise,7530
474,Hillview,7100
475,Hillview,7945
476,Hindle Park,7580
477,Hoheizen,7530
478,Hohenort,7806
479,Holomisa,7784
480,Hoogstede,7560
481,Houghton Place,7100
482,Hout Bay,7806
483,Hout Bay,7872
484,Hout Bay Heights,7806
485,Hout Bay Heights Estate,7806
486,Howard Hamlet,7405
487,Howard Place,7450
488,Hunters Manor,7800
489,Hurley Estate,7700
490,Hydepark,7785
491,I.C.G. (Pty) Ltd,8024
492,Ikwezi Park,7784
493,Ilitha Park,7784
494,Imarike,7752
495,Imhoff's Gift,7975
496,Imizamo Yethu,7806
497,Industrial Area,7140
498,Jagtershof,7580
499,Jakarandas,7580
500,Joe Slovo,7455
501,Joe Slovo Camp,7441
502,Joe Slovo Park,7441
503,Joostenberg Vlakte,7570
504,Joubert Park,7530
505,Kaapsig,7560
506,Kaapzicht,7500
507,Kalk Bay,7975
508,Kalk Bay,7990
509,Kalkfontein,7580
510,Kalksteenfontein,7490
511,Kanana,7750
512,Kanonberg,7530
513,Kapteinsbaai,7441
514,Karee Park,7560
515,Kasselsvlei,7530
516,Kasselsvlei,7533
517,Kempenville,7530
518,Kenilworth,7708
519,Kenilworth,7745
520,Kenilworth,7780
521,Kenilworth,8301
522,Kenilworth Park,7708
523,Kenridge,7530
524,Kenridge,7550
525,Kenridge Estate,7550
526,Kenridge Heights,7550
527,Kensington,7405
528,Kenwyn,7780
529,Kenwyn,7790
530,Kernkrag,7440
531,Kernkrag,7441
532,Kewtown,7764
533,Khanya Park,7784
534,Khayelitsha,7783
535,Khayelitsha,7784
536,Khayelitsha Mall,7792
537,Khulani Park,7784
538,Killarney Gardens,7441
539,Kine Park,7560
540,Kingston,7530
541,Kirstenbosch,7708
542,Kirstenhof,7945
543,Klaasenbosch,7806
544,Klein Dassenberg,7358
545,Klein Dreyersdal,7945
546,Klein Leeukop Estate,7806
547,Klein Nederburg,7550
548,Klein Turf Hall Estate,7780
549,Klein Wassenaar,7945
550,Klein Welgemoed,7530
551,Kleinbosch,7500
552,Kleinbron,7560
553,Kleinbron Estate,7560
554,Kleinbron Park,7560
555,Kleinvlei,7100
556,Kleinvlei Annex,7100
557,Klipdam,7580
558,Klipfontein,7750
559,Klipheuwel,7303
560,Klipheuwel,7550
561,Kloofnek,8001
562,Kloofzicht,7580
563,Knole Park,7941
564,Koeberg,7441
565,Kommetjie,7975
566,Kommetjie,7976
567,Kosovo,7785
568,Kraaifontein,7569
569,Kraaifontein,7570
570,Kraaifontein North,7572
571,Kreupelbosch,7945
572,Kronenzicht Estate,7806
573,Kuils River,7579
574,Kuils River,7580
575,Kuyasa,7784
576,La Concorde,7130
577,La Concordia,7130
578,La Montaque,7570
579,La Montegne,7570
580,La Paloma,7441
581,La Rochelle,7530
582,La Sandra,7130
583,Labella Park,7530
584,Labiance Estate,7530
585,Lake Michelle,7975
586,Lakeside,7945
587,Lakeview,7945
588,Lancia Park,7560
589,Land En Zeezicht,7130
590,Landskroon,7560
591,Langa,7455
592,Langa,7456
593,Langeberg Glen,7570
594,Langeberg Heights,7570
595,Langeberg Hills,7550
596,Langeberg Rand,7550
597,Langeberg Ridge,7550
598,Langeberg Village,7550
599,Lansdowne,7779
600,Lansdowne,7780
601,Las Vegas,7785
602,Lavender Hill,7945
603,Lavistown,7465
604,Lavistown,7490
605,Leiden,7100
606,Lentegeur,7785
607,Lentegeur,7786
608,Leonsdale,7490
609,Lieben Glen,7530
610,Lincoln Estate,7764
611,Lingelethu West,7765
612,Lingelethu West,7784
613,Links,7130
614,Llandudno,7806
615,Loevenstein,7530
616,London Village,7785
617,Long Beach Village,7975
618,Longdown Estate,7130
619,Lost City,7785
620,Lotus River,7805
621,Lotus River,7941
622,Loumar Estate,7530
623,Louw's Bush,7490
624,Lower Crossroads,7750
625,Lusaka,7750
626,Luvuyo Park,7784
627,Luyoloville,7750
628,Luzuko,7750
629,Lwandle,7140
630,Lwandle,7143
631,Lynfrae Estate,7708
632,Mabille Park,7580
633,Macassar,7130
634,Macassar,7134
635,Maitland,7404
636,Maitland,7405
637,Makhaza,7784
638,Makhaza,7792
639,Malagas Park,7441
640,Malibu Village,7100
641,Malunga Park,7750
642,Mamre,7347
643,Mamre,7349
644,Mandalay,7785
645,Mandela Park,7784
646,Mandela Park,7806
647,Manenberg,7764
648,Manenberg,7767
649,Manyanani,7794
650,Marina Da Gama,7945
651,Marina Estate,7945
652,Marina Moorings,7945
653,Marinda Park,7580
654,Marlborough Park,7560
655,Martinville,7130
